recipe_id,dish_name,region,cuisine_raw,servings,instructions,source_row_id
1,Kerala pala pradham recipe,Kerala,Kerala Recipes,4,"To begin making the Kerala Palada Pradhaman recipe, first slow boil milk and 1/2 cup sugar on low flame until it reduces lesser than half the quantity.I used pressure cooker with weight on for about 60 minutes and slow cooked/boiled the milk. The milk turned slightly pink in colour by doing this.Cook ada as per packet instructions. Once cooked, drain the ada and rinse it in cold water to stop cooking.Heat ghee in a pan. Add 1/4 cup sugar and saute. Wait till sugar melts and starts to turn slightly brown. Add cooked ada and saute for about 2 minutes.Add about 1 to 1-1/2 cup boiled milk. Mix well. If it need more milk add it.Sprinkle cardamom powder, mix well. Serve hot or cold. Either ways it tastes delicious.Serve Kerala Palada Pradhaman after your meal of Keerai Sambar, Beetroot Thoran and Steamed Rice.",40
2,White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,Kerala,Kerala Recipes,2,"To begin making White Pumpkin Mor Kuzhambu, we need to first cook the pumpkin. Pressure cook the white pumpkin with little water in a pressure cooker for 2 whistles and release the pressure immediately by running the cooker under cold water.  Keep aside.Meanwhile, whisk curd with water in a bowl until the its smooth. Make sure that there are no lumps in the curd.Next, add grated coconut, green chilli, black pepper powder in a mixer grinder and grind it to a smooth paste with a little water. Your Kuzhambu paste is ready.Transfer this kuzhambu paste to the curd and mix well. Once it is mixed properly, add in turmeric powder, cooked white pumpkin, salt and mix everything well. Place this mixture on low heat in a saucepan and allow the mixture to become warm. You will notice a light froth around the edges of the vessel. Do not let the mixture boil, the curd will split on high heat. Turn off the flame the moment you see froth. The next step is to temper the kuzhambu.In a tempering pan/tadka pan, add one teaspoon of coconut oil. Once the oil is hot, add mustard seeds and fenugreek seeds, Once the mustard seeds starts to crackle, add the curry leaves, dry red chilli and give it a mix. Turn off the flame and add this tempering to the Mor Kuzhambu. Your Mor Kuzhambu is ready to be served. Serve Mor Kuzhambu with Steamed Rice and Menthia Keerai Paruppu Usili for a simple weekday lunch.",92
3,Kerala Style Raw Banana and Suran Kotu Curry Recipe - Kerala Style Plantain & Yam Thoran Recipe,Kerala,Kerala Recipes,4,"To make Kerala Style Raw Banana and Suran Kotu Curry Recipe, first peel the raw banana and suran and cut them into small pieces. In a saucepan, pour both of these with 1/4 tsp turmeric powder, salt and water and let it soften. Cook till Keep it aside. Pour black gram in a cooker with water as per use and cook it for 30 minutes. Allow the pressure to drain automatically and close the cooker. In a mixer grinder, add coconut, cumin, green chili, black pepper, a little water and grind them. Keep it aside. Keep it aside. Now add suran, raw banana, coconut paste, salt, a little water in a pan and cook for 2 to 3 minutes. Add coconut in a pan and cook till it turns brown. Keep it aside. Heat oil in a tempering pan. Add the mustard seeds, dry red chillies, curry leaves and cook until the mustard seeds crackle. Add this tadka and brown coconut curry and mix. Turn off the gas after a minute and serve. Serve Kerala Style Raw Banana and Suran Kotu Curry Recipe with Kerala Beetroot Pachadi for dinner.",114
4,Dry Sweet Potato Thoran Recipe,Kerala,Kerala Recipes,4,"To begin making the Dry Sweet Potato Thoran Recipe, wash and trim the edges of sweet potatoes. Pressure cook in enough water for 1 whistle over medium flame. After the pressure is released, peel the skin and cut into roundels and keep it aside.Heat oil in a heavy bottomed pan, add mustard seeds and urad dal. When the mustard seeds splutter, add curry leaves. Later add chopped onion and saute till soft and translucent.Add the sliced sweet potato to the pan and toss them gently. Add turmeric powder, salt and rasam powder. Mix everything so that sweet potato slices are well coated.Keep the flame on low, close with a lid and let it cook over low flame. Mix in between. The mixture should cook from the steam released by it.When the sweet potato is cooked, sprinkle gram flour and toss gently such that it gets coated well. Add 1-2 teaspoon of oil and let the raw banana pieces get nicely fried on low flame .Let it cook for 5-7 minutes for all the flavors to absorb. Take off stove and serve hot.Serve Dry Sweet Potato Thoran along with Mixed Vegetable Sambar and Steamed Rice for a weekday meal.",138
5,Malabar Kaai Curry Recipe With Nenthra Pazham,Kerala,Kerala Recipes,4,"To begin making the Malabar Kaai Curry, first wash and soak chana dal and raw rice separately in two different bowls for about an hour.After that cook chana dal with little salt in water and once done, drain the water and keep it aside.Slice the bananas, and keep them aside.Now, grind together the rice, onion and cardamom with 1 cup water to a very fine paste.Take the rice batter in a pan and to this, add the thin coconut milk.Switch the flame on, and keep stirring continuously till the mixture thickens and becomes creamy.At this stage, add the sugar, salt, cooked chana dal and sliced bananas and mix well.Stir continuously and let the bananas cook for about 10 minutes.After that, add the thick coconut milk and mix and let it boil for about 2 minutes, before switching the flame off.Serve Malabar Kaai Curry as a dessert during the festive season along with Kandarappam.",205
6,Vedakkai Thoran Recipe - Kerala Style Bhindi Stir Fry,Kerala,Kerala Recipes,4,"To begin making the Vendakkai Thoran Recipe, firstly prepare all the ingredients and keep them ready.Heat a teaspoon of oil in a heavy bottomed wok/kadai; add the mustard seeds, curry leaves and allow it to crackle. Add the chopped onions and saute until the onions become tender. Once the onions are soft and tender, add the green chilies, cut Vendakkai (bhindi) and sprinkle salt.Cover the pan, with the lid slightly ajar and cook the Vendakkai until it is soft. Keep stirring intermittently until it is cooked through.Once the Vendakkai is cooked through, add the turmeric powder, grated coconut and saute for a few more minutes. Check the salt and spices and adjust to suit your taste.Once done, transfer the Vendakkai Thoran to a serving bowl and serve warm.Make the delicious Vendakkai Thoran Recipe and serve it along with Kuruku Kaalan (Raw Bananas in Coconut Curry) and Steamed Rice for a delicious lunch.",209
7,Vendakka Stew Recipe (Kerala Style Okra Stew),Kerala,Kerala Recipes,4,"To begin making Vendakka Stew, first wash, dry and cut the okras into 1 inch long pieces and keep aside.Heat coconut oil in a pan on medium heat, add the mustard seeds and let it splutter.Add the curry leaves and let it splutter.Add the sliced onions and saute until it turns translucent.Add the grated ginger, slit green chilli and saute for a minute.Add the cut okras and mix well.Season with salt and saute for around 10 minutes till its half cooked.Close with the lid and let the okras cook well.Once its cooked, add the coconut milk and a cup of water and bring it to a rolling boil.Switch off the flame and serve the Vendakka Stew along with steamed rice or appams for the weeknight dinner.",343
8,Kerala Style Pacha Mango Avial Recipe,Kerala,Kerala Recipes,4,"To begin making Kerala Style Pacha Mango Avial Recipe, in a mixer grinder, coarsely grind fresh grated coconut, green chillies (reserve a few for later), cumin seeds and shallots with a little water. Keep aside in a bowl.Place a kadai on a medium heat, cook the vegetables with just enough water so that the water should get dried up when the veggies are cooked al dente. (about 70% cooked)Add turmeric powder, give it a quick mix, and cook further.When the vegetables are cooked till firm (do not over cook), add the raw mango pieces and cook for another 7 minutes.Add the coconut mixture and salt to taste stirring carefully.Cook for 2 minutes till dry on a low heat. (If you prefer to make it little gravy type, add few teaspoons of yogurt and mix well, turn off flame immediately)Finally add curry leaves and coconut oil (optional) and switch off.Serve Kerala Style Pacha Mango Avial Recipe with Steamed Rice, Pachai Sundakkai Puli Kuzhambu Recipe (Turkey Berry Tamarind Based Gravy), Cabbage Thoran (Poriyal) Recipe to make a complete lunch meal.",353
9,Meen Vevichathu Recipe - Kottayam Style Fish Curry,Kerala,Kerala Recipes,6,"To begin making the Meen Vevichathu Recipe, wash and clean the fish well and drain off the excess water. In a mixing bowl, combine the salt, turmeric powder, and fish masala, mix this well. To this mixing bowl, add the seer fish slices and massage the masala gently into the fish and set aside. *To make the masala In a mixer-jar combine the coconut, coriander leaves, garlic, ginger, tomato, cinnamon, cloves, and kokum. Grind this into a smooth paste, using some water. Transfer into a bowl aside. Soak the kokum pieces in warm water for 10 minutes. Mash the kokum well into the water, strain and set the kokum water aside. *Getting ahead with the Meen Vevichathu recipe:Heat a meen chatti and pour the coconut oil into it. Once the oil is hot, add the curry leaves and allow them to crackle. Next into the meen chetti, add the sliced shallots and fry until it turns transparent. To this add the freshly ground masala, salt and cook until the raw smell goes away, this will take a good 4-6 minutes. Once the masala is well cooked, add in the sambar masala. Then add the prepared kokum water and required amount of water to adjust the thickness of the Meen VevichathuIncrease the flame and bring the Meen Vevichathu to a rolling boil and then reduce the flame to medium.At this stage, add the marinated seer fish slices along with the marinade and cover and cook. Reduce the flame to medium-low and cook until the fish is done. This will take about 12-15 minutes. Turn off the flame and check if the fish is cooked through, if not cook for a few minutes to ensure it's well done. Serve Meen Vevichathu Recipe along with some hot Steamed Rice, Prawn Ghee Pepper Masala Recipe With Garlic for a simple lip smacking meal over the weekend.",356
10,Kerala Style Tapioca with Coconut Curd Chutney Recipe,Kerala,Kerala Recipes,4,"To begin making the Tapioca With Coconut Curd Chutney recipe, firstly peel, cut and wash the tapioca well.Take lots of water in a saucepan and bring it to a boil. Add salt and add the tapioca pieces.Once tapioca pieces are cooked, drain the water.For the chutney, in a blender add coconut, green chilli and shallots and blend it finely.Add this mixture to sour curd and add salt and mix properly, season it well according to your palate. Serve the Tapioca With Coconut Curd Chutney as a snack or for a healthy and light breakfast along with Kerala Style Pazham Pori Recipe (Banana Fry) or Kerala Style Appam Recipe (Fermented Rice Pancakes With Coconut).",367
